Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Ravindra Jadeja,CHE,PLAYING,6
7.5,ALL,Ravichandran Ashwin,CHE,PLAYING,8
9,ALL,Sunil Narine,KKR,PLAYING,1
8,ALL,Andre Russell,KKR,PLAYING,6
7,ALL,Moeen Ali,KKR,PLAYING,9
6.5,ALL,Jamie Overton,CHE,X_FACTOR_SUBSTITUTE,15
7,ALL,Sam Curran,CHE,NOT_PLAYING,0
6.5,ALL,Ramandeep Singh,KKR,PLAYING,7
6,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14
5.5,ALL,Ramakrishna Ghosh,CHE,NOT_PLAYING,0
7,WK,MS Dhoni,CHE,PLAYING,7
8,WK,Quinton de Kock,KKR,PLAYING,2
7.5,WK,Devon Conway,CHE,PLAYING,2
7,WK,Rahmanullah Gurbaz,KKR,NOT_PLAYING,0
5.5,WK,Luvnith Sisodia,KKR,X_FACTOR_SUBSTITUTE,16
5,WK,Vansh Bedi,CHE,NOT_PLAYING,0
8,BAT,Ajinkya Rahane,KKR,PLAYING,4
6.5,BAT,Manish Pandey,KKR,X_FACTOR_SUBSTITUTE,12
6.5,BAT,Vijay Shankar,CHE,PLAYING,4
6.5,BAT,Deepak Hooda,CHE,X_FACTOR_SUBSTITUTE,16
8,BAT,Venkatesh Iyer,KKR,PLAYING,3
7,BAT,Rahul Tripathi,CHE,PLAYING,3
7.5,BAT,Rinku Singh,KKR,PLAYING,5
8,BAT,Shivam Dube,CHE,PLAYING,5
8,BAT,Rachin Ravindra,CHE,PLAYING,1
6.5,BAT,Rovman Powell,KKR,X_FACTOR_SUBSTITUTE,15
9,BAT,Ruturaj Gaikwad,CHE,NOT_PLAYING,0
7,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,13
5,BAT,Shaik Rasheed,CHE,X_FACTOR_SUBSTITUTE,14
5.5,BAT,Andre Siddharth,CHE,NOT_PLAYING,0
6.5,BOWL,Shreyas Gopal,CHE,NOT_PLAYING,0
8,BOWL,Khaleel Ahmed,CHE,PLAYING,11
6,BOWL,Kamlesh Nagarkoti,CHE,X_FACTOR_SUBSTITUTE,13
7,BOWL,Anrich Nortje,KKR,NOT_PLAYING,0
9,BOWL,Varun Chakravarthy,KKR,PLAYING,11
6.5,BOWL,Spencer Johnson,KKR,NOT_PLAYING,0
6,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0
6,BOWL,Mayank Markande,KKR,NOT_PLAYING,0
6.5,BOWL,Mukesh Choudhary,CHE,NOT_PLAYING,0
7,BOWL,Nathan Ellis,CHE,NOT_PLAYING,0
6,BOWL,Anshul Kamboj,CHE,PLAYING,10
8.5,BOWL,Noor Ahmad,CHE,PLAYING,9
8.5,BOWL,Matheesha Pathirana,CHE,X_FACTOR_SUBSTITUTE,12
7,BOWL,Vaibhav Arora,KKR,PLAYING,8
6,BOWL,Gurjapneet Singh,CHE,NOT_PLAYING,0
8,BOWL,Harshit Rana,KKR,PLAYING,10
