Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Glenn Maxwell,PBKS,PLAYING,6
7.5,ALL,Marcus Stoinis,PBKS,PLAYING,7
7,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
7,ALL,Kamindu Mendis,SRH,NOT_PLAYING,0
8,ALL,Abhishek Sharma,SRH,PLAYING,1
7,ALL,Azmatullah Omarzai,PBKS,NOT_PLAYING,0
6.5,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
8,ALL,Marco Jansen,PBKS,PLAYING,8
5.5,ALL,Suryansh Shedge,PBKS,X_FACTOR_SUBSTITUTE,12
6,ALL,Musheer Khan,PBKS,NOT_PLAYING,0
9,WK,Heinrich Klaasen,SRH,PLAYING,5
7,WK,Josh Inglis,PBKS,NOT_PLAYING,0
8,WK,Ishan Kishan,SRH,PLAYING,3
6.5,WK,Vishnu Vinod,PBKS,NOT_PLAYING,0
7.5,WK,Prabhsimran Singh,PBKS,PLAYING,2
9,BAT,Travis Head,SRH,PLAYING,2
5.5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,13
9,BAT,Shreyas Iyer,PBKS,PLAYING,3
7.5,BAT,Shashank Singh,PBKS,PLAYING,4
6,BAT,Atharva Taide,SRH,NOT_PLAYING,0
6,BAT,Abhinav Manohar,SRH,X_FACTOR_SUBSTITUTE,12
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,5
7,BAT,Priyansh Arya,PBKS,PLAYING,1
8,BAT,K Nitish Reddy,SRH,PLAYING,4
5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
7,BAT,Aniket Verma,SRH,PLAYING,6
7,BOWL,Jaydev Unadkat,SRH,X_FACTOR_SUBSTITUTE,14
8,BOWL,Yuzvendra Chahal,PBKS,PLAYING,11
8.5,BOWL,Mohammed Shami,SRH,PLAYING,9
8,BOWL,Pat Cummins,SRH,PLAYING,7
7.5,BOWL,Harshal Patel,SRH,PLAYING,8
7,BOWL,Adam Zampa,SRH,NOT_PLAYING,0
6.5,BOWL,Yash Thakur,PBKS,X_FACTOR_SUBSTITUTE,14
6,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,13
7,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,16
7.5,BOWL,Lockie Ferguson,PBKS,PLAYING,9
6.5,BOWL,Zeeshan Ansari,SRH,PLAYING,10
6.5,BOWL,Xavier Bartlett,PBKS,NOT_PLAYING,0
6,BOWL,Rahul Chahar,SRH,X_FACTOR_SUBSTITUTE,15
6.5,BOWL,Simarjeet- Singh,SRH,NOT_PLAYING,0
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,10
6,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
6.5,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,15
6,BOWL,Eshan Malinga,SRH,PLAYING,11
