Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8,ALL,Aiden Markram,LSG,PLAYING,1
7,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
8.5,ALL,Abhishek Sharma,SRH,PLAYING,1
7,ALL,Shahbaz Ahmed,LSG,X_FACTOR_SUBSTITUTE,12
5,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0
8,ALL,K Nitish Reddy,SRH,PLAYING,4
6,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0
8.5,WK,Nicholas Pooran,LSG,PLAYING,2
9,WK,Heinrich Klaasen,SRH,PLAYING,5
9,WK,Rishabh Pant,LSG,PLAYING,3
8,WK,Ishan Kishan,SRH,PLAYING,3
5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0
8,BAT,Mitchell Marsh,LSG,X_FACTOR_SUBSTITUTE,14
8,BAT,David Miller,LSG,PLAYING,4
9,BAT,Travis Head,SRH,PLAYING,2
6.5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,12
5.5,BAT,Himmat Singh,LSG,X_FACTOR_SUBSTITUTE,15
7,BAT,Kamindu Mendis,SRH,NOT_PLAYING,0
6.5,BAT,Matthew Breetzke,LSG,NOT_PLAYING,0
6.5,BAT,Atharva Taide,SRH,NOT_PLAYING,0
7,BAT,Ayush Badoni,LSG,PLAYING,5
6.5,BAT,Abhinav Manohar,SRH,PLAYING,7
6.5,BAT,Abdul Samad,LSG,PLAYING,6
5,BAT,Aniket Verma,SRH,PLAYING,6
7,BOWL,Jaydev Unadkat,SRH,X_FACTOR_SUBSTITUTE,13
8.5,BOWL,Mohammed Shami,SRH,PLAYING,11
8.5,BOWL,Pat Cummins,SRH,PLAYING,8
8,BOWL,Harshal Patel,SRH,PLAYING,10
7.5,BOWL,Adam Zampa,SRH,X_FACTOR_SUBSTITUTE,15
8,BOWL,Avesh Khan,LSG,PLAYING,10
7,BOWL,Shardul Thakur,LSG,PLAYING,7
5.5,BOWL,Zeeshan Ansari,SRH,X_FACTOR_SUBSTITUTE,14
6.5,BOWL,Rahul Chahar,SRH,NOT_PLAYING,0
6,BOWL,Manimaran Siddharth,LSG,X_FACTOR_SUBSTITUTE,13
6,BOWL,Simarjeet- Singh,SRH,PLAYING,9
5.5,BOWL,Rajvardhan Hangargekar,LSG,NOT_PLAYING,0
8,BOWL,Ravi Bishnoi,LSG,PLAYING,9
6,BOWL,Akash Singh,LSG,X_FACTOR_SUBSTITUTE,16
7,BOWL,Akash Deep,LSG,NOT_PLAYING,0
7.5,BOWL,Mayank Yadav,LSG,NOT_PLAYING,0
6.5,BOWL,Shamar Joseph,LSG,NOT_PLAYING,0
6,BOWL,Eshan Malinga,SRH,NOT_PLAYING,0
5.5,BOWL,Prince Yadav,LSG,PLAYING,8
5,BOWL,Digvesh Singh,LSG,PLAYING,11
