Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
9,ALL,Axar Patel,DC,PLAYING,5
7,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
8.5,ALL,Abhishek Sharma,SRH,PLAYING,2
6,ALL,Ajay Mandal,DC,NOT_PLAYING,0
8,ALL,K Nitish Reddy,SRH,PLAYING,4
7,ALL,Donovan Ferreira,DC,X_FACTOR_SUBSTITUTE,15
6,ALL,Vipraj Nigam,DC,PLAYING,7
5.5,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0
5,ALL,Madhav Tiwari,DC,NOT_PLAYING,0
9,WK,Lokesh Rahul,DC,PLAYING,4
9,WK,Heinrich Klaasen,SRH,PLAYING,5
8.5,WK,Ishan Kishan,SRH,PLAYING,3
6.5,WK,Abishek Porel,DC,PLAYING,3
8.5,BAT,Faf du Plessis,DC,PLAYING,1
7,BAT,Karun Nair,DC,X_FACTOR_SUBSTITUTE,12
9,BAT,Travis Head,SRH,PLAYING,1
6.5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,12
7,BAT,Kamindu Mendis,SRH,NOT_PLAYING,0
6.5,BAT,Atharva Taide,SRH,NOT_PLAYING,0
6.5,BAT,Abhinav Manohar,SRH,PLAYING,7
7.5,BAT,Jake Fraser-McGurk,DC,PLAYING,2
6.5,BAT,Sameer Rizvi,DC,X_FACTOR_SUBSTITUTE,14
7.5,BAT,Ashutosh Sharma,DC,X_FACTOR_SUBSTITUTE,13
8,BAT,Tristan Stubbs,DC,PLAYING,6
5,BAT,Aniket Verma,SRH,PLAYING,6
7,BOWL,Jaydev Unadkat,SRH,NOT_PLAYING,0
8.5,BOWL,Mitchell Starc,DC,PLAYING,8
8.5,BOWL,Mohammed Shami,SRH,PLAYING,11
8.5,BOWL,Pat Cummins,SRH,PLAYING,8
8,BOWL,Harshal Patel,SRH,PLAYING,10
7,BOWL,Dushmantha Chameera,DC,NOT_PLAYING,0
7.5,BOWL,Adam Zampa,SRH,X_FACTOR_SUBSTITUTE,15
7.5,BOWL,Mohit Sharma,DC,PLAYING,10
8.5,BOWL,Kuldeep Yadav,DC,PLAYING,9
7,BOWL,Mukesh Kumar,DC,PLAYING,11
5.5,BOWL,Zeeshan Ansari,SRH,PLAYING,9
7,BOWL,T Natarajan,DC,NOT_PLAYING,0
6.5,BOWL,Rahul Chahar,SRH,NOT_PLAYING,0
6.5,BOWL,Darshan Nalkande,DC,NOT_PLAYING,0
6.5,BOWL,Simarjeet- Singh,SRH,X_FACTOR_SUBSTITUTE,14
5.5,BOWL,Tripurana Vijay,DC,X_FACTOR_SUBSTITUTE,16
6,BOWL,Eshan Malinga,SRH,X_FACTOR_SUBSTITUTE,13
