Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
7.5,ALL,Nitish Rana,RR,PLAYING,3
7,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
8.5,ALL,Wanindu Hasaranga,RR,NOT_PLAYING,0
8.5,ALL,Abhishek Sharma,SRH,PLAYING,2
8,ALL,Riyan Parag,RR,PLAYING,4
8,ALL,K Nitish Reddy,SRH,PLAYING,4
6.5,ALL,Yudhvir Singh Charak,RR,NOT_PLAYING,0
9,WK,Sanju Samson,RR,X_FACTOR_SUBSTITUTE,15
9,WK,Heinrich Klaasen,SRH,PLAYING,5
8,WK,Ishan Kishan,SRH,PLAYING,3
7.5,WK,Dhruv Jurel,RR,PLAYING,5
5,WK,Kunal Singh Rathore,RR,X_FACTOR_SUBSTITUTE,12
9,BAT,Travis Head,SRH,PLAYING,1
6.5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,12
7.5,BAT,Shimron Hetmyer,RR,PLAYING,6
7,BAT,Kamindu Mendis,SRH,NOT_PLAYING,0
6.5,BAT,Atharva Taide,SRH,NOT_PLAYING,0
6.5,BAT,Abhinav Manohar,SRH,PLAYING,7
9,BAT,Yashasvi Jaiswal,RR,PLAYING,1
5.5,BAT,Shubham Dubey,RR,PLAYING,2
5,BAT,Aniket Verma,SRH,PLAYING,6
5,BAT,Vaibhav Suryavanshi,RR,NOT_PLAYING,0
7,BOWL,Jaydev Unadkat,SRH,X_FACTOR_SUBSTITUTE,13
8.5,BOWL,Mohammed Shami,SRH,PLAYING,11
8.5,BOWL,Pat Cummins,SRH,PLAYING,8
8,BOWL,Harshal Patel,SRH,PLAYING,10
7.5,BOWL,Adam Zampa,SRH,X_FACTOR_SUBSTITUTE,15
7.5,BOWL,Sandeep Sharma,RR,PLAYING,10
5.5,BOWL,Zeeshan Ansari,SRH,X_FACTOR_SUBSTITUTE,14
8,BOWL,Jofra Archer,RR,PLAYING,7
7.5,BOWL,Tushar Deshpande,RR,PLAYING,9
6.5,BOWL,Rahul Chahar,SRH,NOT_PLAYING,0
6,BOWL,Simarjeet- Singh,SRH,PLAYING,9
7,BOWL,FazalHaq Farooqi,RR,PLAYING,11
6,BOWL,Kumar Kartikeya,RR,X_FACTOR_SUBSTITUTE,14
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,8
7,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,13
6,BOWL,Kwena Maphaka,RR,X_FACTOR_SUBSTITUTE,16
5,BOWL,Ashok Sharma,RR,NOT_PLAYING,0
6,BOWL,Eshan Malinga,SRH,NOT_PLAYING,0
