Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Ravindra Jadeja,CHE,PLAYING,6
8,ALL,Ravichandran Ashwin,CHE,PLAYING,8
6.5,ALL,Jamie Overton,CHE,PLAYING,5
7.5,ALL,Nitish Rana,RR,PLAYING,3
7.5,ALL,Sam Curran,CHE,X_FACTOR_SUBSTITUTE,16
8,ALL,Wanindu Hasaranga,RR,PLAYING,7
8,ALL,Riyan Parag,RR,PLAYING,4
6.5,ALL,Yudhvir Singh Charak,RR,X_FACTOR_SUBSTITUTE,16
5.5,ALL,Ramakrishna Ghosh,CHE,NOT_PLAYING,0
7,WK,MS Dhoni,CHE,PLAYING,7
9,WK,Sanju Samson,RR,PLAYING,2
7.5,WK,Devon Conway,CHE,X_FACTOR_SUBSTITUTE,14
7.5,WK,Dhruv Jurel,RR,PLAYING,5
5,WK,Kunal Singh Rathore,RR,X_FACTOR_SUBSTITUTE,12
5,WK,Vansh Bedi,CHE,NOT_PLAYING,0
6.5,BAT,Vijay Shankar,CHE,PLAYING,4
7,BAT,Deepak Hooda,CHE,NOT_PLAYING,0
7.5,BAT,Shimron Hetmyer,RR,PLAYING,6
7.5,BAT,Rahul Tripathi,CHE,PLAYING,2
8,BAT,Shivam Dube,CHE,X_FACTOR_SUBSTITUTE,12
8,BAT,Rachin Ravindra,CHE,PLAYING,1
9,BAT,Ruturaj Gaikwad,CHE,PLAYING,3
8.5,BAT,Yashasvi Jaiswal,RR,PLAYING,1
6,BAT,Shubham Dubey,RR,X_FACTOR_SUBSTITUTE,13
5,BAT,Shaik Rasheed,CHE,X_FACTOR_SUBSTITUTE,15
5.5,BAT,Andre Siddharth,CHE,NOT_PLAYING,0
5,BAT,Vaibhav Suryavanshi,RR,NOT_PLAYING,0
7.5,BOWL,Sandeep Sharma,RR,PLAYING,11
6.5,BOWL,Shreyas Gopal,CHE,NOT_PLAYING,0
7.5,BOWL,Khaleel Ahmed,CHE,PLAYING,10
8,BOWL,Jofra Archer,RR,PLAYING,8
7.5,BOWL,Tushar Deshpande,RR,PLAYING,10
6,BOWL,Kamlesh Nagarkoti,CHE,NOT_PLAYING,0
6.5,BOWL,Mukesh Choudhary,CHE,X_FACTOR_SUBSTITUTE,13
7,BOWL,FazalHaq Farooqi,RR,X_FACTOR_SUBSTITUTE,14
7,BOWL,Nathan Ellis,CHE,NOT_PLAYING,0
6,BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0
6,BOWL,Kumar Kartikeya,RR,X_FACTOR_SUBSTITUTE,15
8,BOWL,Noor Ahmad,CHE,PLAYING,9
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,9
8.5,BOWL,Matheesha Pathirana,CHE,PLAYING,11
7,BOWL,Akash Madhwal,RR,NOT_PLAYING,0
6,BOWL,Gurjapneet Singh,CHE,NOT_PLAYING,0
6,BOWL,Kwena Maphaka,RR,NOT_PLAYING,0
5,BOWL,Ashok Sharma,RR,NOT_PLAYING,0
