Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6.5,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
8.5,ALL,Axar Patel,DC,PLAYING,4
8,ALL,Liam Livingstone,RCB,PLAYING,5
8,ALL,Krunal Pandya,RCB,PLAYING,8
5.5,ALL,Ajay Mandal,DC,NOT_PLAYING,0
6.5,ALL,Romario Shepherd,RCB,NOT_PLAYING,0
6,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14
7,ALL,Donovan Ferreira,DC,X_FACTOR_SUBSTITUTE,16
6.5,ALL,Vipraj Nigam,DC,PLAYING,7
5.5,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0
5.5,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
5,ALL,Madhav Tiwari,DC,NOT_PLAYING,0
9,WK,Lokesh Rahul,DC,PLAYING,3
8.5,WK,Philip Salt,RCB,PLAYING,2
7.5,WK,Jitesh Sharma,RCB,PLAYING,6
7,WK,Abishek Porel,DC,X_FACTOR_SUBSTITUTE,12
9,BAT,Virat Kohli,RCB,PLAYING,1
8.5,BAT,Faf du Plessis,DC,PLAYING,1
7,BAT,Karun Nair,DC,X_FACTOR_SUBSTITUTE,14
8.5,BAT,Rajat Patidar,RCB,PLAYING,4
7,BAT,Devdutt Padikkal,RCB,PLAYING,3
7.5,BAT,Tim David,RCB,PLAYING,7
7.5,BAT,Jake Fraser-McGurk,DC,PLAYING,2
6.5,BAT,Sameer Rizvi,DC,X_FACTOR_SUBSTITUTE,15
7.5,BAT,Ashutosh Sharma,DC,PLAYING,6
8,BAT,Tristan Stubbs,DC,PLAYING,5
6.5,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15
5.5,BAT,Swastik Chikara,RCB,NOT_PLAYING,0
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
9,BOWL,Mitchell Starc,DC,PLAYING,8
6.5,BOWL,Dushmantha Chameera,DC,NOT_PLAYING,0
7.5,BOWL,Mohit Sharma,DC,PLAYING,10
8.5,BOWL,Kuldeep Yadav,DC,PLAYING,9
7,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
7,BOWL,Mukesh Kumar,DC,PLAYING,11
6.5,BOWL,T Natarajan,DC,NOT_PLAYING,0
6,BOWL,Darshan Nalkande,DC,X_FACTOR_SUBSTITUTE,13
7,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
7.5,BOWL,Yash Dayal,RCB,PLAYING,11
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
5.5,BOWL,Tripurana Vijay,DC,NOT_PLAYING,0
6,BOWL,Suyash Sharma,RCB,X_FACTOR_SUBSTITUTE,12
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
