Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Glenn Maxwell,PBKS,PLAYING,4
8,ALL,Marcus Stoinis,PBKS,PLAYING,5
7.5,ALL,Nitish Rana,RR,PLAYING,3
8,ALL,Wanindu Hasaranga,RR,PLAYING,7
8,ALL,Riyan Parag,RR,PLAYING,4
7.5,ALL,Azmatullah Omarzai,PBKS,NOT_PLAYING,0
7,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
8,ALL,Marco Jansen,PBKS,PLAYING,8
5.5,ALL,Suryansh Shedge,PBKS,PLAYING,7
6.5,ALL,Yudhvir Singh Charak,RR,PLAYING,10
6,ALL,Musheer Khan,PBKS,NOT_PLAYING,0
9,WK,Sanju Samson,RR,PLAYING,2
7.5,WK,Josh Inglis,PBKS,NOT_PLAYING,0
6.5,WK,Vishnu Vinod,PBKS,X_FACTOR_SUBSTITUTE,15
7.5,WK,Prabhsimran Singh,PBKS,PLAYING,1
7.5,WK,Dhruv Jurel,RR,PLAYING,5
5,WK,Kunal Singh Rathore,RR,X_FACTOR_SUBSTITUTE,12
9,BAT,Shreyas Iyer,PBKS,PLAYING,2
7.5,BAT,Shimron Hetmyer,RR,PLAYING,6
7.5,BAT,Shashank Singh,PBKS,PLAYING,6
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,3
8.5,BAT,Yashasvi Jaiswal,RR,PLAYING,1
6.5,BAT,Priyansh Arya,PBKS,X_FACTOR_SUBSTITUTE,12
5.5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
6,BAT,Shubham Dubey,RR,X_FACTOR_SUBSTITUTE,13
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
5,BAT,Vaibhav Suryavanshi,RR,NOT_PLAYING,0
8,BOWL,Yuzvendra Chahal,PBKS,PLAYING,11
7.5,BOWL,Sandeep Sharma,RR,PLAYING,11
6.5,BOWL,Yash Thakur,PBKS,NOT_PLAYING,0
6,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,14
7,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,16
7.5,BOWL,Lockie Ferguson,PBKS,PLAYING,9
8,BOWL,Jofra Archer,RR,PLAYING,8
6.5,BOWL,Xavier Bartlett,PBKS,NOT_PLAYING,0
7.5,BOWL,Tushar Deshpande,RR,NOT_PLAYING,0
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,10
7,BOWL,FazalHaq Farooqi,RR,X_FACTOR_SUBSTITUTE,14
6,BOWL,Kumar Kartikeya,RR,X_FACTOR_SUBSTITUTE,15
6,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
6.5,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,13
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,9
7,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,16
6,BOWL,Kwena Maphaka,RR,NOT_PLAYING,0
5,BOWL,Ashok Sharma,RR,NOT_PLAYING,0
