Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
7.5,ALL,Aiden Markram,LSG,PLAYING,1
6,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,13
7.5,ALL,Mitchell Santner,MI,PLAYING,7
9,ALL,Hardik Pandya,MI,PLAYING,4
7.5,ALL,Will Jacks,MI,PLAYING,1
7,ALL,Shahbaz Ahmed,LSG,X_FACTOR_SUBSTITUTE,14
5,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0
6,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0
6.5,ALL,Naman Dhir,MI,PLAYING,5
9,WK,Nicholas Pooran,LSG,PLAYING,3
8.5,WK,Rishabh Pant,LSG,PLAYING,4
7.5,WK,Ryan Rickelton,MI,PLAYING,2
5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0
6,WK,KL Shrijith,MI,NOT_PLAYING,0
6,WK,Robin Minz,MI,X_FACTOR_SUBSTITUTE,14
8.5,BAT,Rohit Sharma,MI,NOT_PLAYING,0
8.5,BAT,Mitchell Marsh,LSG,PLAYING,2
8,BAT,David Miller,LSG,PLAYING,6
9,BAT,Suryakumar Yadav,MI,PLAYING,3
5.5,BAT,Himmat Singh,LSG,NOT_PLAYING,0
6.5,BAT,Matthew Breetzke,LSG,NOT_PLAYING,0
7,BAT,Ayush Badoni,LSG,PLAYING,5
6.5,BAT,Abdul Samad,LSG,PLAYING,7
8,BAT,Tilak Varma,MI,X_FACTOR_SUBSTITUTE,12
5.5,BAT,Raj Angad Bawa,MI,PLAYING,6
6,BAT,Bevon Jacobs,MI,NOT_PLAYING,0
6.5,BOWL,Karn Sharma,MI,X_FACTOR_SUBSTITUTE,16
8,BOWL,Deepak Chahar,MI,PLAYING,10
8.5,BOWL,Trent Boult,MI,PLAYING,8
9,BOWL,Jasprit Bumrah,MI,NOT_PLAYING,0
8,BOWL,Avesh Khan,LSG,PLAYING,11
7.5,BOWL,Shardul Thakur,LSG,PLAYING,8
6.5,BOWL,Reece Topley,MI,NOT_PLAYING,0
6,BOWL,Manimaran Siddharth,LSG,X_FACTOR_SUBSTITUTE,15
5,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0
7,BOWL,Mujeeb-ur-Rahman,MI,NOT_PLAYING,0
5.5,BOWL,Rajvardhan Hangargekar,LSG,NOT_PLAYING,0
8,BOWL,Ravi Bishnoi,LSG,X_FACTOR_SUBSTITUTE,12
6,BOWL,Akash Singh,LSG,X_FACTOR_SUBSTITUTE,16
7,BOWL,Akash Deep,LSG,PLAYING,10
6.5,BOWL,Ashwani Kumar,MI,PLAYING,9
6,BOWL,Satyanarayana Raju,MI,X_FACTOR_SUBSTITUTE,15
7,BOWL,Vignesh Puthur,MI,PLAYING,11
6.5,BOWL,Mayank Yadav,LSG,NOT_PLAYING,0
6,BOWL,Shamar Joseph,LSG,NOT_PLAYING,0
6,BOWL,Prince Yadav,LSG,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Digvesh Singh,LSG,PLAYING,9
