Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
7,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
6,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,13
8,ALL,Liam Livingstone,RCB,PLAYING,5
7.5,ALL,Mitchell Santner,MI,PLAYING,7
9,ALL,Hardik Pandya,MI,PLAYING,5
7.5,ALL,Krunal Pandya,RCB,PLAYING,8
7,ALL,Will Jacks,MI,PLAYING,2
6.5,ALL,Romario Shepherd,RCB,NOT_PLAYING,0
6,ALL,Manoj Bhandage,RCB,NOT_PLAYING,0
7,ALL,Naman Dhir,MI,PLAYING,6
5.5,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
8.5,WK,Philip Salt,RCB,PLAYING,2
7.5,WK,Jitesh Sharma,RCB,PLAYING,6
7.5,WK,Ryan Rickelton,MI,PLAYING,1
5.5,WK,KL Shrijith,MI,NOT_PLAYING,0
6,WK,Robin Minz,MI,X_FACTOR_SUBSTITUTE,16
8.5,BAT,Rohit Sharma,MI,X_FACTOR_SUBSTITUTE,12
9,BAT,Virat Kohli,RCB,PLAYING,1
9,BAT,Suryakumar Yadav,MI,PLAYING,3
8,BAT,Rajat Patidar,RCB,PLAYING,4
7,BAT,Devdutt Padikkal,RCB,PLAYING,3
7.5,BAT,Tim David,RCB,PLAYING,7
8,BAT,Tilak Varma,MI,PLAYING,4
7,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15
5.5,BAT,Raj Angad Bawa,MI,X_FACTOR_SUBSTITUTE,15
5.5,BAT,Swastik Chikara,RCB,X_FACTOR_SUBSTITUTE,14
6,BAT,Bevon Jacobs,MI,NOT_PLAYING,0
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9
6,BOWL,Karn Sharma,MI,NOT_PLAYING,0
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
7.5,BOWL,Deepak Chahar,MI,PLAYING,8
8,BOWL,Trent Boult,MI,PLAYING,9
8.5,BOWL,Jasprit Bumrah,MI,PLAYING,10
6.5,BOWL,Reece Topley,MI,NOT_PLAYING,0
7.5,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
5,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0
7,BOWL,Mujeeb-ur-Rahman,MI,NOT_PLAYING,0
7,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
7,BOWL,Yash Dayal,RCB,PLAYING,11
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Ashwani Kumar,MI,X_FACTOR_SUBSTITUTE,14
6,BOWL,Satyanarayana Raju,MI,NOT_PLAYING,0
7,BOWL,Vignesh Puthur,MI,PLAYING,11
6,BOWL,Suyash Sharma,RCB,X_FACTOR_SUBSTITUTE,12
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
