Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Ravindra Jadeja,CHE,PLAYING,6
8,ALL,Ravichandran Ashwin,CHE,PLAYING,8
7,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
6.5,ALL,Jamie Overton,CHE,X_FACTOR_SUBSTITUTE,15
8,ALL,Liam Livingstone,RCB,PLAYING,5
7.5,ALL,Sam Curran,CHE,PLAYING,5
7.5,ALL,Krunal Pandya,RCB,PLAYING,8
7,ALL,Romario Shepherd,RCB,NOT_PLAYING,0
6.5,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14
5.5,ALL,Ramakrishna Ghosh,CHE,NOT_PLAYING,0
6,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
7,WK,MS Dhoni,CHE,PLAYING,7
8,WK,Devon Conway,CHE,NOT_PLAYING,0
8.5,WK,Philip Salt,RCB,PLAYING,2
7.5,WK,Jitesh Sharma,RCB,PLAYING,6
5,WK,Vansh Bedi,CHE,NOT_PLAYING,0
9,BAT,Virat Kohli,RCB,PLAYING,1
6.5,BAT,Vijay Shankar,CHE,X_FACTOR_SUBSTITUTE,14
7,BAT,Deepak Hooda,CHE,PLAYING,4
7.5,BAT,Rahul Tripathi,CHE,PLAYING,2
8,BAT,Rajat Patidar,RCB,PLAYING,4
8,BAT,Shivam Dube,CHE,X_FACTOR_SUBSTITUTE,12
8,BAT,Rachin Ravindra,CHE,PLAYING,1
9,BAT,Ruturaj Gaikwad,CHE,PLAYING,3
7,BAT,Devdutt Padikkal,RCB,PLAYING,3
7.5,BAT,Tim David,RCB,PLAYING,7
7,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15
5,BAT,Shaik Rasheed,CHE,X_FACTOR_SUBSTITUTE,16
5.5,BAT,Swastik Chikara,RCB,NOT_PLAYING,0
5.5,BAT,Andre Siddharth,CHE,NOT_PLAYING,0
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
6.5,BOWL,Shreyas Gopal,CHE,NOT_PLAYING,0
7.5,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
7.5,BOWL,Khaleel Ahmed,CHE,PLAYING,11
6,BOWL,Kamlesh Nagarkoti,CHE,X_FACTOR_SUBSTITUTE,13
7.5,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
6.5,BOWL,Mukesh Choudhary,CHE,NOT_PLAYING,0
7,BOWL,Yash Dayal,RCB,PLAYING,11
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
7,BOWL,Nathan Ellis,CHE,NOT_PLAYING,0
6,BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0
8,BOWL,Noor Ahmad,CHE,PLAYING,9
8.5,BOWL,Matheesha Pathirana,CHE,PLAYING,10
6,BOWL,Gurjapneet Singh,CHE,NOT_PLAYING,0
6,BOWL,Suyash Sharma,RCB,X_FACTOR_SUBSTITUTE,12
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
