Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
9,ALL,Sunil Narine,KKR,PLAYING,2
8,ALL,Andre Russell,KKR,PLAYING,6
7,ALL,Moeen Ali,KKR,NOT_PLAYING,0
7.5,ALL,Aiden Markram,LSG,PLAYING,2
6.5,ALL,Ramandeep Singh,KKR,PLAYING,7
6,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14
7,ALL,Shahbaz Ahmed,LSG,X_FACTOR_SUBSTITUTE,14
5,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0
6,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0
8,WK,Quinton de Kock,KKR,PLAYING,1
9,WK,Nicholas Pooran,LSG,PLAYING,3
8,WK,Rishabh Pant,LSG,PLAYING,4
7,WK,Rahmanullah Gurbaz,KKR,NOT_PLAYING,0
5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0
5.5,WK,Luvnith Sisodia,KKR,X_FACTOR_SUBSTITUTE,16
7.5,BAT,Ajinkya Rahane,KKR,PLAYING,3
6.5,BAT,Manish Pandey,KKR,X_FACTOR_SUBSTITUTE,12
8.5,BAT,Mitchell Marsh,LSG,PLAYING,1
8,BAT,David Miller,LSG,PLAYING,6
8,BAT,Venkatesh Iyer,KKR,PLAYING,4
7.5,BAT,Rinku Singh,KKR,PLAYING,5
5.5,BAT,Himmat Singh,LSG,X_FACTOR_SUBSTITUTE,16
6.5,BAT,Rovman Powell,KKR,X_FACTOR_SUBSTITUTE,15
6,BAT,Matthew Breetzke,LSG,X_FACTOR_SUBSTITUTE,15
7,BAT,Ayush Badoni,LSG,PLAYING,5
6.5,BAT,Abdul Samad,LSG,PLAYING,7
7,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,13
8,BOWL,Avesh Khan,LSG,PLAYING,10
7.5,BOWL,Shardul Thakur,LSG,PLAYING,8
7.5,BOWL,Anrich Nortje,KKR,NOT_PLAYING,0
6,BOWL,Manimaran Siddharth,LSG,NOT_PLAYING,0
9,BOWL,Varun Chakravarthy,KKR,PLAYING,11
6.5,BOWL,Spencer Johnson,KKR,PLAYING,9
6,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0
6,BOWL,Mayank Markande,KKR,NOT_PLAYING,0
5.5,BOWL,Rajvardhan Hangargekar,LSG,NOT_PLAYING,0
7.5,BOWL,Ravi Bishnoi,LSG,X_FACTOR_SUBSTITUTE,12
6,BOWL,Akash Singh,LSG,NOT_PLAYING,0
7,BOWL,Akash Deep,LSG,PLAYING,9
7,BOWL,Vaibhav Arora,KKR,PLAYING,10
6.5,BOWL,Mayank Yadav,LSG,NOT_PLAYING,0
8,BOWL,Harshit Rana,KKR,PLAYING,8
6,BOWL,Shamar Joseph,LSG,NOT_PLAYING,0
6,BOWL,Prince Yadav,LSG,X_FACTOR_SUBSTITUTE,13
7,BOWL,Digvesh Singh,LSG,PLAYING,11
